track_genre,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
goth,28.696,254339.938,0.067,0.483,0.729,5.185,-7.206,0.561,0.074,0.178,0.106,0.235,0.46,124.677,3.937
grindcore,14.542,133080.788,0.148,0.272,0.927,5.209,-6.16,0.629,0.138,0.008,0.537,0.283,0.215,119.549,3.802
groove,35.571,271878.672,0.135,0.546,0.729,5.374,-6.624,0.596,0.078,0.179,0.116,0.258,0.401,123.494,3.934
grunge,49.764,236639.923,0.074,0.447,0.809,5.044,-5.685,0.672,0.062,0.044,0.045,0.233,0.401,130.406,3.905
guitar,28.868,221991.416,0.001,0.547,0.344,5.101,-13.299,0.682,0.051,0.764,0.474,0.154,0.454,111.798,3.774
happy,21.599,241711.5,0.127,0.552,0.911,5.76,-5.378,0.569,0.12,0.058,0.26,0.286,0.332,152.834,3.973
hard-rock,46.098,247377.536,0.046,0.48,0.815,5.582,-6.446,0.628,0.073,0.078,0.044,0.229,0.516,127.904,3.977
hardcore,37.12,207948.832,0.379,0.548,0.842,5.514,-5.686,0.584,0.163,0.064,0.043,0.237,0.519,123.269,3.971
hardstyle,27.81,224730.56,0.102,0.536,0.901,5.74,-4.321,0.469,0.124,0.053,0.125,0.256,0.32,146.824,3.965
heavy-metal,26.198,252392.615,0.086,0.43,0.875,5.411,-5.735,0.591,0.075,0.014,0.085,0.284,0.391,127.078,3.949
hip-hop,52.671,212657.135,0.227,0.711,0.699,5.405,-6.072,0.456,0.139,0.224,0.014,0.197,0.548,119.474,3.969
honky-tonk,16.0,162374.558,0.0,0.576,0.375,5.025,-11.686,0.962,0.037,0.705,0.066,0.196,0.638,115.853,3.813
house,50.561,193490.102,0.245,0.706,0.713,5.02,-5.715,0.541,0.081,0.121,0.066,0.174,0.475,124.651,3.98
idm,15.289,265827.165,0.015,0.531,0.562,5.163,-12.366,0.574,0.075,0.372,0.688,0.17,0.312,123.16,3.853
indian,50.189,240078.418,0.022,0.585,0.552,5.086,-9.069,0.703,0.068,0.515,0.035,0.176,0.449,115.195,3.902
indie,41.215,217968.344,0.065,0.591,0.602,5.634,-7.792,0.602,0.065,0.381,0.07,0.19,0.46,119.333,3.796
indie-pop,47.587,203519.791,0.135,0.6,0.54,5.303,-8.327,0.738,0.069,0.403,0.03,0.172,0.461,121.072,3.887
industrial,31.949,252795.849,0.233,0.541,0.851,5.452,-6.24,0.637,0.086,0.042,0.2,0.238,0.427,126.899,3.954
iranian,2.178,320990.304,0.076,0.3,0.549,5.182,-13.004,0.548,0.093,0.412,0.585,0.193,0.155,114.639,3.729
j-dance,25.28,196127.096,0.376,0.679,0.711,5.201,-6.032,0.55,0.214,0.222,0.034,0.185,0.581,115.465,4.055
j-idol,24.633,256246.936,0.0,0.549,0.869,5.097,-3.762,0.725,0.07,0.149,0.035,0.231,0.579,135.899,3.985
j-pop,41.82,241932.774,0.006,0.57,0.683,5.248,-6.405,0.728,0.057,0.293,0.014,0.208,0.571,123.927,3.941
j-rock,36.633,245123.321,0.024,0.512,0.722,5.329,-6.459,0.662,0.061,0.212,0.033,0.221,0.552,127.84,3.931
jazz,22.271,212793.97,0.0,0.531,0.319,5.151,-12.913,0.669,0.053,0.705,0.19,0.165,0.451,114.353,3.837
k-pop,58.649,259609.538,0.012,0.643,0.678,5.238,-6.614,0.48,0.082,0.314,0.009,0.178,0.575,119.243,3.907
