track_id,track_name,artist,genre,community_id,genius_title,genius_artist,language,lyrics_preview
3A6Ty55vQ1NC06EiB1fi9z,No More Heroes - 1996 Remaster,The Stranglers,synth-pop,3,No More Heroes (1996 Remastered Version),The Stranglers,en,"Whatever happened to Leon Trotsky?
He got an ice pick
That made his ears burn
Whatever happened to dear old Lenny?
The great Elmyra, and Sancho Panza?
Whatever happened to the heroes?
Whatever happene..."
2LwVSnu8XKGhAncs0rZqpL,"Leave a Light On (7"" Version)",Belinda Carlisle,synth-pop,3,Leave a Light On,Belinda Carlisle,en,"Take my hand
Tell me what you are feeling
Understand, this is just the beginning
Although I have to go
It makes me feel like crying
I don't know when I'll see you again

Darling, leave a light on for ..."
6HuGQa8zVmpzQzLZeFl4UR,Weird Science,Oingo Boingo,synth-pop,3,Weird Science,Oingo Boingo,en,"From my heart and from my hand
Why don't people understand
My intentions?
(Weird, ooh!)

(Weird science)
Plastic tubes and pots and pans
Bits and pieces and
The magic from my hand
We're makin'
(Weird ..."
3GNwCZIv4xKUiyoaQfj9Ah,It's a Sin,Pet Shop Boys,synth-pop,3,It’s a Sin,Pet Shop Boys,en,"""Twenty seconds and counting
T minus fifteen seconds, guidance is internal""

When I look back upon my life
It's always with a sense of shame
I've always been the one to blame
For everything I long to ..."
1OZpUOQumWhZ8Gr1bUsmrz,Poison Arrow,ABC,synth-pop,3,Poison Arrow,ABC,en,"If I were to say to you:
""Can you keep a secret?""
Would you know just what to do
Or where to keep it?
Then I say, ""I love you""
Foul the situation
Hey, girl, I thought we were the right combination

Wh..."
0MSAWjq5aWfTUNL9hv7Epd,In The Heat Of The Night,Sandra,synth-pop,3,In the Heat of the Night,Sandra,en,"Talk to me
Want my love
Talk to me
But not that stuff

You ain't enough
Using my love
You call for me
Again I see

In the heat of the night
(You lose your heart and sell your soul)
I lose control in t..."
08cshUZIlQMJRKPTLnaT9F,Over My Shoulder,Mike & The Mechanics,synth-pop,3,Over My Shoulder,Mike + The Mechanics,en,"Looking back over my shoulder
I can see that look in your eye
I never dreamed it could be over
I never wanted to say goodbye

Looking back over my shoulder
With an aching deep in my heart
I wish we we..."
5UuHb6AnltVWblocTrQzUp,How Not To Drown (feat. Robert Smith) - Robert Smith Remix,CHVRCHES,synth-pop,3,How Not to Drown (Robert Smith Remix),CHVRCHES,en,"Watch as they pull me down
Watch as they pull me down
Watch as they pull me down
Watch as they pull me down
Watch as they pull me down

I'm writin' a book on how to stay conscious when you drown
And i..."
4q2lRiodoQnyFO65watkse,True,Spandau Ballet,synth-pop,3,True,Spandau Ballet,en,"Huh huh uh-huh hi
Huh huh uh-huh hi

So true
Funny how it seems
Always in time
But never in line for dreams
Head over heels when toe to toe
This is the sound of my soul
This is the sound
I bought a ti..."
0rfXn2iUwqQXzNvJgmcG6p,Paddling Out,Miike Snow,synth-pop,3,Paddling Out,Miike Snow,en,"The waves are warm, the sunny south, The sea is full of agents
The car, the space between
The grains of road to me too

There is someone here who laughs too hard at everything
There is someone here wh..."
4t8BXr8qiOIth1XVvcSR5L,The Sound Of The Crowd - Remastered 2002,The Human League,synth-pop,3,The Sound Of The Crowd,The Human League,en,"And put your hand in a parting wave
Pass around
Make a shroud pulling combs through a backwash frame
Find the copies in a carbon mount
Pass around
Stroke a pocket with a print of a laughing sound

Get..."
1lZ6BfK3ZvSnG1s7l1haT0,Through the Barricades,Spandau Ballet,synth-pop,3,Through the Barricades,Spandau Ballet,en,"Mother doesn't know where love has gone
She says it must be youth that keeps us feeling strong
See it in her face that's turned to ice
And when she smiles
She shows the lines of sacrifice
And now I kn..."
2jUoKSWTHduXxUL3JomwhB,Bikini Porn,Tove Lo,synth-pop,3,Bikini Porn,Tove Lo,en,"Uh-uh
Uh-uh

Uh-uh, I'm all bikini porn
Uh-uh, layin' out in the sun
Oh, I got those marks on my body
You-ooh, you're looking pale as fuck
You-ooh, like you're all out of luck
Oh, you got those sad ey..."
1UKkPuBWDjdNJQH4gCckPp,High School Poem,The Knife,synth-pop,3,High School Poem,The Knife,en,"Who wants to be ordinary?
Who wants to be sweet?
Who wants to know mid-term?
Which hasn't been dried for weeks?
Which hasn't been dried for weeks?..."
