track_id,track_name,artist,genre,community_id,genius_title,genius_artist,language,lyrics_preview
5HmqzCeCdZFF20jqI6p73T,No Chance to Bloom,Modern Guns,punk,2,No Chance to Bloom (feat. Ijal Bulb),Modern Guns,en,"You said it was fate that we crossed our paths
But I wish fate’s just some kind of practical math
Where there's a certain answer to every equation
So then I'll figure it out, if we indeed have to cros..."
4FRqM1mahmNdLOT9OQOr8q,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,punk,2,Heads Will Roll (A-Trak Remix),Yeah Yeah Yeahs,en,"Glitter on the wet streets
Silver over everything
The river's all wet
You're all chrome (Oh)

Dripping with alchemy
Shiver stop shivering
The glitter's all wet
You're all chrome

The men cry out, the ..."
53xKlevoXT2OIdDQx3KDl1,96 Tears,? & The Mysterians,punk,2,96 Tears,? and the Mysterians,en,"Too many teardrops
For one heart to be cryin'
Too many teardrops
For one heart to carry on

You're way on top now
Since you left me
You're always laughin'
Way down at me

But watch out now
I'm gonna g..."
74SUn8w4lYSwgOGPvVZiEo,Gallowdance,Lebanon Hanover,punk,2,Gallowdance,Lebanon Hanover,en,"Dance with me the gallowdance
As long as we, as long as we're not hanging
As long as we still can, my love
We both know the string is always ready

Dance with me the gallowdance
For all the degradatio..."
4KacUpvbA3Mfo05gttTjhN,Fat Lip,Sum 41,punk,2,Fat Lip,Sum 41,en,"Stormin' through the party like my name was El Niño
When I'm hangin' out drinkin' in the back of an El Camino
As a kid,
 was a skid, and no one knew me by name
Trashed my own house party 
'cause nobod..."
0Qx3WZTUUmcyKR5jCDWojv,21st Century Breakdown,Green Day,punk,2,21st Century Breakdown,Green Day,en,"Born into Nixon, I was raised in Hell
A welfare child where the teamsters dwelled
The last one born and the first one to run
My town was blind from refinery sun

My generation is zero
I never made it ..."
5taYc1q2cpXe2xUuZAVAr7,I Had A Heart,Real Friends,punk,2,I Had A Heart,Real Friends,en,"I walk on this frozen lake
Hoping to hit a spot that's weaker than I was
A year a half ago
I remember how Christmas used to be
Before she spat me out
And left me to roam this empty place
If I ran to t..."
6otiaV2fagE3s8IvP6WkwG,I'm Just a Kid,Simple Plan,punk,2,I’m Just a Kid,Simple Plan,en,"I woke up, it was seven, I waited 'til eleven
Just to figure out that no one would call
I think I've got a lot of friends, but I don't hear from them
What's another night all alone?

When you're spend..."
2kMjk14RmYyYhhSbipoa9U,The Sharpest Lives,My Chemical Romance,punk,2,The Sharpest Lives,My Chemical Romance,en,"Well, it rains and it pours when you're out on your own
If I crash on the couch, can I sleep in my clothes?
'Cause I've spent the night dancing, I'm drunk, I suppose
If it looks like I'm laughing, I'm..."
1ibeKVCiXORhvUpMmtsQWq,Pieces,Sum 41,punk,2,Pieces,Sum 41,en,"I tried to be perfect, but nothin' was worth it
I don't believe it makes me real
I thought it'd be easy, but no one believes me
I meant all the things I said

If you believe it's in my soul
I'd say al..."
