track_id,track_name,artist,genre,community_id,genius_title,genius_artist,language,lyrics_preview
1O9MJgplfAytNT8fERYwNg,I've Been Draggin' Since You've Gone,The Country Side Of Harmonica Sam,guitar,1,I’ve Been Draggin’ Since You’ve Gone,The Country Side Of Harmonica Sam,en,"As I sit here all alone in the moonlight
Wondering why I'm feeling low
Is it all said and done? Why don't you telephone?
I've been draggin' since you've gone
And even though I know it's foolish when I..."
3VgYGwa03GGyYwKjHtJqrQ,I Don't Need No Doctor,John Scofield,guitar,1,I Don’t Need No Doctor,John Scofield,en,"I don't need no doctor
'Cause I know what's ailing me
I don't need no doctor
'Cause I know what's ailing me
I've been too long away from my baby, yeah
I'm coming down with a misery
I don't need no doc..."
0BhmtRzdjNV0bQ5veUOazN,Self Help,Anna Hamilton,acoustic,1,Self Help,Anna Hamilton,en,"I’VE ALWAYS BEEN THE FRIEND TO DROP EVERYTHING
ALWAYS GIVING IN TO MY EMPATHY
SHOULDN’T BE A BAD THING
BUT I FEEL LIKE I’M BURNING OUT
CAUSE I’VE PASSING OUT ALL MY ENERGY
TREATING ME LIKE I’M A DISPE..."
2sYFi9xVSZ56WHKSY2fN1K,So Far Away - Acoustic,Adam Christopher,acoustic,1,So Far Away,Adam Christopher,en,"Light 'em up, light 'em up
Tell me where you are, tell me where you are
Summer nights, bright lights
And the shooting stars, they break my heart

Calling you now, but you're not picking up
Shadows so ..."
0F78T5bfHQCliaNjBkIYBq,When the Party's Over,Kina Grannis,acoustic,1,When The Party’s Over,Kina Grannis,en,"Don't you know I’m no good for you?
I've learned to lose you, can't afford to
Tore my shirt to stop you bleedin’
But nothin' ever stops you leavin'

Quiet when I'm coming home and I'm on my own
I coul..."
6i1wlqIigKZTvMk0LTh5Id,Rocksteady,Marc Broussard,acoustic,1,Rocksteady,Marc Broussard,en,"Ah, ah
Ooh, ooh
Ooh, ooh
Ah

I think I feel like sleepin' in
I won't wake up 'til Friday night
The moment the weekend begins
I'm backing up my ride and I'm leaving
Headed straight towards your door

W..."
2XW4AAjfBQTzp7Oe1tU702,No Matter Where You Are,Us The Duo,acoustic,1,No Matter Where You Are,Us The Duo,en,"I will stand by you even when we fall
I will be the rock that holds you up and lifts you high so you stand tall
I won't let you go, no one can take your place
Oh, a couple fights and lonely nights don..."
5kTmg9n7FZ7xv8SZVFhX8P,I Am So Mad at You,AJJ,acoustic,1,I Am So Mad at You,AJJ,en,"I am so mad at you
For making me such a bastard
Giving me such high standards
I'm mad at you
But I'll find you inside of someone else
Even if finding you in of someone else is hard to do
This never en..."
0C4m2ViRBc1rCfsU8wFMKT,Trenchfoot,Chuck Ragan,acoustic,1,Trenchfoot,Chuck Ragan,en,"I smell the bullshit like trenchfoot on your breath
You're the disease they call 'we're sick to death
A personal friend of Mr. Sydney James you say
Oh no not now please go away
And we all lived to sta..."
1gRa1tyGV1GY60QgU5DkQH,I'll Be Home For Christmas,Dave Barnes,acoustic,1,I’ll Be Home For Christmas,Dave Barnes,en,"I'll be home for Christmas;
You can count on me
Please have snow and mistletoe
And presents on the tree
Christmas Eve will find me
Where the love-light gleams
I'll be home for Christmas
If only in my ..."
2HUZVffVPXvqnrml0gXggp,Smokestack Lightnin',Howlin' Wolf,acoustic,1,Smokestack Lightning,Howlin’ Wolf,en,"Ah-oh, smokestack lightnin'
Shinin' just like gold
Why don't ya hear me cryin'?
A-whoo-hooo, oooo
Whooo

Whoa-oh, tell me baby
What's the matter with you?
Why don't ya hear me cryin'?
Whoo-hooo, whoo-..."
73oHkllHIT8fdbzpxiXW40,"On Love, in Sadness",Jason Mraz,acoustic,1,"On Love, in Sadness",Jason Mraz,en,"Sing about that
Oh, love it's a brittle madness
I sing about it in all my sadness
Not falsified to say that I found God, so
Inevitably, well, it still exists, pale and fine I can't dismiss
And I won't..."
2z3HKlpENvfz1Am2MNF2pL,I Ain't Ever Loved No One - Acoustic,Donovan Woods,acoustic,1,I Ain’t Ever Loved No One - Acoustic,Donovan Woods,en,"I guess before I met you
I didn't know better
But you swept in out of nowhere
And I thought I’d never go there
And you set the bar
For this stubborn heart

And when you met my family
Everybody knew th..."
1POSMvQ2TKVN0D7GwOgK0W,Josephine,Frank Turner,acoustic,1,Josephine,Frank Turner,en,"I heard the name Josephine
It came to me in a dream
And I don't usually set too much store by the things these things might mean
But it was spoken with seriousness
More of a whisper than a scream
So n..."
6QXolVfFVjUHPp5TVzsjIF,Only Time,Aaron Espe,acoustic,1,Only Time,Aaron Espe,en,"Couple of years, standing right here
I see it all caught in a glow
The hum and the rush, they're never enough
Tell me now, where does it go?

If it's only time, if it's only time
Then everything else ..."
63F2nWghdifkNHVns5GT8W,Fade into You,Andrew Belle,acoustic,1,Fade Into You,Andrew Belle,en,"I want to hold the hand inside you
I want to take a breath that's true
I look to you and I see nothing
I look to you to see the truth
You live your life, you go in shadows
You'll come apart and you'll..."
5IGYPdHMSG4PLXDS9LDPJS,So Are You To Me,Eastmountainsouth,acoustic,1,So Are You To Me,Eastmountainsouth,en,"As the music at the banquet
As the wine before the meal
As the firelight in the night
So are you to me
As the ruby in the setting
As the fruit upon the tree
As the wind blows over the plain
So are you..."
